Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
Justin Champagnie\champju01,SF,20,TOR,35,274,13.6,0.566,0.4,0.138,13.9,13.8,13.8,5.5,1.3,1.4,9.2,11.9,,0.5,0.2,0.8,0.138,,-1.3,-0.9,-2.1,0
Zylan Cheatham\cheatzy01,SF,26,UTA,1,5,-23.8,0,0.667,0,0,0,0,0,0,0,0,26.2,,-0.1,0,-0.1,-0.614,,-19.1,-11.3,-30.4,0
Chris Chiozza\chiozch01,PG,26,GSW,33,352,4.9,0.404,0.653,0.013,2.9,7.5,5.3,22.9,1.7,0,27.1,12.8,,-0.4,0.4,0.1,0.007,,-5.3,-0.2,-5.6,-0.3
Marquese Chriss\chrisma01,PF,24,DAL,27,290,14.9,0.524,0.195,0.204,9.8,25,17.3,7.2,2.1,3.8,12.1,21.7,,0,0.6,0.6,0.099,,-4,0.7,-3.3,-0.1
Josh Christopher\chrisjo01,SG,20,HOU,67,1150,11.8,0.531,0.38,0.203,4.2,10.9,7.5,17.1,2.2,0.8,17.2,20.9,,-0.4,0.5,0.1,0.006,,-2.1,-1.5,-3.7,-0.5
Gary Clark\clarkga01,PF,27,NOP,34,331,10.7,0.528,0.829,0.105,5.6,21.2,13.3,5.6,1.6,2,8.1,11.2,,0.2,0.4,0.6,0.088,,-0.3,0.2,-0.1,0.2
Brandon Clarke\clarkbr01,PF,25,MEM,58,1124,24.2,0.664,0.05,0.291,11.4,18.5,14.9,10.2,1.5,5.2,6.2,17.5,,4.1,1.7,5.8,0.249,,3.3,1,4.3,1.8
Jordan Clarkson\clarkjo01,SG,29,UTA,71,1911,14.9,0.531,0.534,0.152,3.6,10.1,7,13.5,1.5,0.7,9.8,27.3,,1.2,1.7,3,0.075,,0.3,-1.3,-0.9,0.5
Nic Claxton\claxtni01,C,22,BRK,39,804,19.1,0.663,0,0.351,10.7,18.3,14.5,6.5,1.1,5,10.2,15.3,,2,0.9,2.9,0.173,,0.7,0,0.7,0.5
Amir Coffey\coffeam01,SG,24,LAC,62,1465,12.1,0.583,0.546,0.249,1.8,10.6,6.3,10.7,1.1,0.8,8.2,15.4,,1.8,1.2,3,0.099,,-0.8,-0.1,-1,0.4
John Collins\collijo01,PF,24,ATL,54,1663,18.8,0.61,0.273,0.262,6.1,21.5,13.9,9,1,3,7.7,20.5,,3.7,1.4,5.1,0.146,,1.5,-0.1,1.4,1.4
Zach Collins\colliza01,PF,24,SAS,20,333,13.7,0.549,0.304,0.304,10.5,20.4,15.4,15.4,0.9,4,21.1,18.5,,0.1,0.4,0.5,0.074,,-2.4,0.3,-2.2,0
Darren Collison\collida01,PG,34,LAL,3,37,-0.2,0.286,0.429,0,0,11.5,5.8,6.7,1.3,0,12.5,9.3,,-0.1,0,-0.1,-0.067,,-10.1,-0.9,-11,-0.1
Mike Conley\conlemi01,PG,34,UTA,65,1840,17.2,0.565,0.526,0.209,2.6,9,5.9,27.3,2.4,1,12.4,20.8,,3.9,2,5.9,0.155,,2.2,0.7,2.9,2.3
Pat Connaughton\connapa01,SG,29,MIL,58,1545,13.8,0.634,0.746,0.111,2.8,14.2,8.6,6.4,1.7,0.9,6.4,13.9,,2.8,1.5,4.3,0.133,,1,0.4,1.4,1.3
Tyler Cook\cookty01,PF,24,CHI,19,196,13,0.645,0,0.861,9.2,20.4,14.8,2,1,1.8,12.4,12.7,,0.3,0.2,0.5,0.129,,-2.8,-1,-3.9,-0.1
Sharife Cooper\coopesh01,PG,20,ATL,11,35,-6,0.25,0.429,0,0,15.6,7.8,18.5,0,0,26.3,23.8,,-0.2,0,-0.2,-0.332,,-11.8,-5.4,-17.2,-0.1
Petr Cornelie\cornepe01,PF,26,DEN,13,38,9.7,0.418,0.533,0.267,21.2,19.9,20.5,10.9,1.3,2.4,19.3,24,,-0.1,0,0,-0.012,,-6,-2.8,-8.8,-0.1
DeMarcus Cousins\couside01,C,31,TOT,41,638,18.3,0.554,0.381,0.381,11.1,29.9,20.8,14.4,2.6,2.6,17,27.7,,0.2,1.2,1.4,0.108,,-1.6,0.4,-1.3,0.1
DeMarcus Cousins\couside01,C,31,MIL,17,287,19.2,0.572,0.407,0.322,9.1,26.6,18,9.4,2.7,2.7,10.6,22.5,,0.5,0.5,1,0.167,,-0.2,0.9,0.7,0.2
DeMarcus Cousins\couside01,C,31,DEN,24,351,17.5,0.543,0.363,0.421,12.8,32.7,23,18.5,2.5,2.6,20.7,32,,-0.2,0.7,0.4,0.06,,-2.8,-0.1,-2.8,-0.1
Robert Covington\covinro01,PF-SF,31,TOT,64,1778,11.6,0.546,0.672,0.129,3.2,18.9,10.9,6.8,2.6,4.6,13.2,13.1,,0.3,2.2,2.5,0.066,,-2,1.9,-0.2,0.8
Robert Covington\covinro01,PF,31,POR,48,1431,10,0.519,0.685,0.107,3,18.5,10.5,6.6,2.5,4.3,14.2,12.4,,-0.2,1.4,1.2,0.04,,-2.7,1.6,-1.1,0.3
Robert Covington\covinro01,SF,31,LAC,16,347,18.2,0.629,0.632,0.198,4.1,20.5,12.5,7.7,3.1,5.7,10.1,16.2,,0.5,0.7,1.3,0.174,,0.9,2.9,3.8,0.5
Torrey Craig\craigto01,SF,31,TOT,70,1449,11.2,0.554,0.51,0.133,5.9,16.1,11,8,1.3,1.9,12.5,14.1,,1,1.3,2.2,0.074,,-1.6,-0.2,-1.8,0.1
Torrey Craig\craigto01,SF,31,IND,51,1034,10.9,0.555,0.491,0.125,6.3,14.7,10.4,7.7,1.1,1.6,11.6,13.9,,0.8,0.5,1.3,0.062,,-1.5,-0.6,-2.1,0
Torrey Craig\craigto01,SF,31,PHO,19,415,11.8,0.553,0.559,0.153,5.1,19.6,12.6,8.6,1.7,2.8,14.4,14.4,,0.2,0.7,0.9,0.104,,-1.9,0.8,-1,0.1
Jae Crowder\crowdja01,PF,31,PHO,62,1745,11.4,0.546,0.665,0.168,1.8,17.8,10.1,8.1,2.3,1.4,9.1,14.8,,0.9,3.1,4,0.109,,-1.2,2.2,1,1.3
Jarrett Culver\culveja01,SG,22,MEM,34,287,10.4,0.448,0.345,0.239,4.3,10.7,7.4,14.5,2.8,1.6,10.7,20,,-0.2,0.4,0.2,0.041,,-4.5,0.6,-3.9,-0.1
Jarron Cumberland\cumbeja01,SG,24,POR,3,12,8.5,0.5,0.5,0,8.8,18.9,13.7,11.5,0,0,0,7.2,,0,0,0,0.082,,-4.3,-2.3,-6.6,0
Cade Cunningham\cunnica01,PG,20,DET,58,1899,13,0.501,0.361,0.155,3.1,16.8,9.6,28.9,1.8,1.8,17.5,27.1,,-2.1,1.7,-0.4,-0.009,,-1.1,-0.5,-1.6,0.2
Seth Curry\curryse01,SG,31,TOT,59,1982,13.9,0.614,0.494,0.125,1.1,9.3,5.3,16.9,1.3,0.6,12.6,18.7,,2.5,1.4,3.9,0.095,,0.3,-0.9,-0.6,0.7
Seth Curry\curryse01,SG,31,PHI,45,1566,13.5,0.603,0.473,0.138,1.2,9.4,5.4,17.9,1.2,0.6,13,18.5,,1.8,1.2,3,0.091,,-0.1,-1,-1.1,0.4
Seth Curry\curryse01,SG,31,BRK,14,416,15.4,0.65,0.562,0.08,0.5,9.3,5,13.2,1.6,0.4,11.1,19.6,,0.7,0.3,1,0.113,,2,-0.8,1.2,0.3
Stephen Curry\curryst01,PG,33,GSW,64,2211,21.6,0.601,0.613,0.243,1.7,14.4,8.3,30.4,1.9,1,13.2,30.8,,4.9,3.3,8.2,0.177,,5.5,0.3,5.8,4.4
Anthony Davis\davisan02,C,28,LAL,37,1297,24.1,0.582,0.104,0.357,8.6,21.1,14.9,13.9,1.7,5.9,9.4,26.9,,2.5,1.9,4.4,0.163,,2.6,1.1,3.7,1.9
Ed Davis\davised01,C,32,CLE,27,186,9.6,0.632,0,0.875,7.9,27.8,18.1,4.2,0.8,3.8,18.4,6.5,,0.2,0.3,0.5,0.129,,-4.3,2.5,-1.8,0
Terence Davis\daviste02,SG,24,SAC,30,536,14.7,0.543,0.558,0.165,2.2,17.1,9.5,11.8,2.2,1.8,10.3,25.5,,0.1,0.5,0.5,0.047,,-0.5,-0.4,-0.9,0.2
Gabriel Deck\deckga01,PF,26,OKC,7,56,11.6,0.643,0.286,0,1.8,9.3,5.5,13.8,0.9,0,12.5,12.3,,0.1,0,0.1,0.083,,-1.2,-1.4,-2.5,0
Dewayne Dedmon\dedmode01,C,32,MIA,63,1002,15.9,0.631,0.152,0.33,11.8,29.6,20.8,6.8,1.1,4.1,17.4,16.6,,1.5,1.9,3.3,0.159,,-2,1,-1,0.2
Sam Dekker\dekkesa01,PF,27,TOR,1,1,0,,,,0,0,0,0,0,0,,0,,0,0,0,-0.001,,-6.1,-3.5,-9.5,0
Javin DeLaurier\delauja01,C,23,MIL,1,3,15.7,,,,0,34.3,17.6,0,16,0,,0,,0,0,0,0.263,,-4.7,11.7,7,0
DeMar DeRozan\derozde01,PF,32,CHI,69,2484,23.1,0.588,0.093,0.383,2.5,14,8.3,23.5,1.2,0.8,9.2,31.6,,6.4,1.7,8.2,0.158,,3.4,-0.9,2.5,2.8
Mamadi Diakite\diakima01,PF,25,OKC,13,188,11.7,0.54,0.106,0.234,9.1,23.2,16.1,1.6,1.3,4.5,11.9,13.5,,0.1,0.3,0.3,0.084,,-5.8,0.9,-4.9,-0.1
Cheick Diallo\diallch01,C,25,DET,3,31,12.4,0.517,0,0.75,13.3,29.3,20.9,0,1.6,0,8.6,16.1,,0,0,0.1,0.11,,-4.2,-3.3,-7.6,0
Hamidou Diallo\diallha01,SG,23,DET,58,1269,15.9,0.541,0.177,0.266,5.6,18.6,11.8,9.9,2.7,1.2,9,21.8,,0.7,1.5,2.2,0.083,,-1.2,0.7,-0.5,0.5
Gorgui Dieng\dienggo01,C,32,ATL,42,363,18,0.643,0.585,0.245,9.7,26.1,17.9,12.7,1.5,3.2,14.6,16.6,,0.8,0.4,1.2,0.163,,1.8,0.8,2.5,0.4
Spencer Dinwiddie\dinwisp01,PG,28,TOT,60,1826,15.2,0.536,0.447,0.334,2.6,13.2,7.9,26.2,1.1,0.6,10.4,21.4,,2.5,1.2,3.8,0.099,,0.8,-0.4,0.4,1.1
Spencer Dinwiddie\dinwisp01,PG,28,WAS,44,1330,13.4,0.501,0.459,0.291,3,14,8.6,27.8,1,0.4,11.6,21,,1,0.7,1.7,0.06,,-0.2,-0.8,-1,0.3
Spencer Dinwiddie\dinwisp01,PG,28,DAL,16,496,20,0.622,0.414,0.445,1.3,11,6.1,21.9,1.4,0.9,7.3,22.3,,1.5,0.6,2.1,0.202,,3.4,0.7,4.1,0.8
Donte DiVincenzo\divindo01,SG,25,TOT,35,808,10.7,0.498,0.648,0.24,4.8,13.1,9,15.2,2.1,0.6,15.5,18.5,,-0.1,0.6,0.6,0.033,,-2,-0.7,-2.8,-0.2
Donte DiVincenzo\divindo01,SG,25,MIL,17,341,8,0.47,0.627,0.229,5.7,12.7,9.3,11.4,1.6,0.8,17.7,19.8,,-0.4,0.3,0,-0.006,,-3.8,-1.7,-5.4,-0.3
Donte DiVincenzo\divindo01,SG,25,SAC,18,467,12.7,0.52,0.664,0.248,4.1,13.5,8.7,17.9,2.5,0.4,13.6,17.5,,0.3,0.3,0.6,0.062,,-0.7,-0.1,-0.8,0.1
Luka Dončić\doncilu01,PG,22,DAL,57,2033,24,0.562,0.404,0.336,2.7,25.7,14.1,44.7,1.7,1.4,15.5,36.9,,2.6,3.4,6,0.142,,6,1.8,7.8,5
Luguentz Dort\dortlu01,SF,22,OKC,51,1665,12.4,0.541,0.539,0.263,2.3,10.9,6.5,8.6,1.3,1,9.8,23.3,,0.3,1.2,1.5,0.043,,-1.5,-0.8,-2.2,-0.1
Ayo Dosunmu\dosunay01,SG,22,CHI,69,1872,11.2,0.596,0.352,0.147,1.4,10,5.7,16.4,1.4,1.3,15.6,13.7,,1.7,1.3,2.9,0.075,,-1.9,0,-1.9,0.1
Damyean Dotson\dotsoda01,SG,27,NYK,2,21,6.4,0.5,0.25,0,0,10.4,5.1,7,0,0,0,8.3,,0,0,0,0.042,,-3.7,-1.3,-5,0
Devon Dotson\dotsode01,PG,22,CHI,11,85,9.9,0.538,0.391,0.391,1.3,10.4,5.9,23.8,0.6,0,15.6,16.6,,0.1,0,0.1,0.052,,-3.4,-1.5,-4.8,-0.1
Sekou Doumbouya\doumbse01,PF,21,LAL,2,16,40.9,0.717,0.25,0.5,13.4,26.7,20.1,0,9,11.1,17,31.6,,0,0.1,0.1,0.305,,8.9,10,18.9,0.1
Jeff Dowtin\dowtije01,PG,24,TOT,7,81,6.5,0.3,0.3,0,6.6,9.2,8,13.5,1.8,1.2,4.8,11.2,,-0.1,0.1,0,0,,-5.8,-0.2,-6,-0.1
Jeff Dowtin\dowtije01,PG,24,GSW,4,28,9.6,0.5,0.167,0,4,22.7,13.7,14.6,0,3.4,14.3,10.9,,0,0,0.1,0.089,,-4.2,0.6,-3.6,0
Jeff Dowtin\dowtije01,PG,24,MIL,1,3,-12.9,0,1,0,0,0,0,0,0,0,0,14.3,,0,0,0,-0.344,,-15.7,-6.9,-22.6,0
Jeff Dowtin\dowtije01,PG,24,ORL,2,50,6,0.231,0.308,0,8.4,2.1,5.3,13.7,2.9,0,0,11.2,,-0.1,0,0,-0.029,,-6.1,-0.2,-6.3,-0.1
PJ Dozier\doziepj01,SG,25,DEN,18,340,8.8,0.463,0.485,0.131,4.7,15.6,10.3,11.4,1.6,1.6,11,15.2,,-0.1,0.4,0.3,0.04,,-2.9,0.9,-2,0
Goran Dragić\dragigo01,PG,35,TOT,18,420,10,0.477,0.403,0.24,2.6,10.7,6.6,23.7,1.6,0.7,16.4,17.5,,0,0.3,0.3,0.037,,-2.6,-0.8,-3.5,-0.2
Goran Dragić\dragigo01,PG,35,TOR,5,90,16.3,0.521,0.412,0.294,2.3,15.3,8.4,14.4,2.8,1.1,2.5,18.8,,0.2,0.1,0.3,0.162,,-0.6,2.4,1.9,0.1
Goran Dragić\dragigo01,PG,35,BRK,13,330,8.3,0.46,0.4,0.221,2.7,9.4,6.1,26.2,1.3,0.5,20.6,17.1,,-0.2,0.2,0,0.003,,-3.2,-1.7,-4.9,-0.2
Andre Drummond\drumman01,C,28,TOT,65,1249,20.5,0.57,0.008,0.398,17.4,34,25.8,14.8,2.7,4.2,19.9,18.9,,1.5,2.7,4.2,0.162,,-0.4,1.5,1,1
Andre Drummond\drumman01,C,28,PHI,49,902,19.5,0.544,0.008,0.345,17,36,26.7,16.1,3.1,4.5,22.4,17.6,,0.7,2.2,2.9,0.156,,-1.1,2.4,1.3,0.7
Andre Drummond\drumman01,C,28,BRK,16,347,22.9,0.618,0.008,0.5,18.3,28.7,23.6,11.2,1.5,3.3,15.1,22.1,,0.8,0.5,1.3,0.179,,1.3,-0.9,0.4,0.2
Chris Duarte\duartch01,SG,24,IND,55,1541,12.4,0.537,0.411,0.18,2.9,13.4,8.1,11,1.8,0.6,11.8,21.2,,0.3,0.8,1.1,0.035,,-1.2,-1.1,-2.2,-0.1
David Duke Jr.\dukeda01,PG,22,BRK,21,340,10.2,0.444,0.343,0.194,9.8,11.7,10.8,6.6,2,1.8,7.1,16,,0,0.3,0.3,0.048,,-2.9,-1,-3.9,-0.2
Kris Dunn\dunnkr01,PG,27,POR,8,189,13.4,0.536,0.093,0.241,1.7,12.6,7,32.2,3.9,0.5,23.2,17.8,,0,0.2,0.2,0.057,,-4.4,0,-4.3,-0.1
Kevin Durant\duranke01,PF,33,BRK,47,1718,25.8,0.633,0.256,0.36,1.7,19.6,10.8,28.7,1.1,2.2,12.7,31.5,,5.4,1.6,7,0.195,,6.4,0.6,7,3.9
Jaime Echenique\echenja01,C,24,WAS,1,3,0,,,,0,0,0,0,0,0,,0,,0,0,0,-0.012,,-5.5,-3,-8.5,0
Anthony Edwards\edwaran01,SG,20,MIN,65,2232,16,0.551,0.484,0.225,2.6,12.2,7.3,16.8,2.1,1.9,12.3,26.3,,1.3,2.4,3.7,0.079,,1.3,-0.2,1,1.7
Kessler Edwards\edwarke02,SF,21,BRK,40,850,7.9,0.51,0.509,0.067,4.8,14,9.5,4,1.5,1.9,14.1,13.6,,-0.3,0.7,0.4,0.022,,-3.3,-0.9,-4.2,-0.5
Rob Edwards\edwarro01,SG,25,OKC,2,11,-0.8,0.375,1,0,0,28.3,14,0,0,0,20,19.6,,-0.1,0,0,-0.178,,-8.3,-3,-11.3,0
CJ Elleby\ellebcj01,SF,21,POR,50,935,9.3,0.499,0.392,0.273,6,16,10.8,9.8,1.6,1.6,14.9,14.9,,-0.1,0.4,0.4,0.019,,-3.9,-1.2,-5.1,-0.7
Wayne Ellington\ellinwa01,SG,34,LAL,40,742,9.8,0.588,0.897,0.023,1.4,8.3,4.9,5.3,1.5,0.5,6.9,13.4,,0.6,0.4,1,0.064,,-0.8,-0.4,-1.2,0.1
Joel Embiid\embiijo01,C,27,PHI,60,2002,31.1,0.609,0.191,0.611,7,30.2,18.8,24.2,1.7,3.9,10.9,37,,7,3.6,10.6,0.255,,7.3,2.1,9.4,5.7
James Ennis III\ennisja01,SF,31,TOT,7,56,17.9,0.553,0.333,0.208,9.9,13.2,11.6,7.5,1.7,3.1,7.1,22,,0.1,0.1,0.1,0.114,,-0.1,-1,-1.1,0
James Ennis III\ennisja01,SF,31,BRK,2,14,14.8,0.357,0.286,0,15.9,23,19.5,0,3.5,6.4,0,21.6,,0,0,0,0.034,,-0.4,-0.6,-1,0
James Ennis III\ennisja01,SF,31,LAC,2,28,26.4,0.784,0.364,0.364,7.7,11,9.4,0,1.7,3.1,7.3,21.6,,0.1,0,0.2,0.276,,3.7,0.2,3.9,0
James Ennis III\ennisja01,SF,31,DEN,3,14,3.8,0.311,0.333,0.167,8.2,7.7,8,30,0,0,13.4,23.4,,0,0,0,-0.132,,-7.1,-4,-11.2,0
Drew Eubanks\eubandr01,C,24,TOT,64,1019,17.2,0.619,0.055,0.386,11.5,22.7,16.9,10.7,1,2.8,16.9,17.1,,1.7,0.9,2.6,0.123,,-0.8,-0.8,-1.6,0.1
Drew Eubanks\eubandr01,C,24,SAS,49,595,16.1,0.588,0.05,0.497,11.1,23.5,17.2,11.1,1,4.2,19.2,17,,0.6,0.8,1.4,0.113,,-1.9,0.6,-1.3,0.1
Drew Eubanks\eubandr01,C,24,POR,15,424,18.7,0.66,0.061,0.252,12,21.4,16.5,10,0.9,0.9,13.6,17.2,,1,0.2,1.2,0.136,,0.7,-2.7,-2.1,0
Tacko Fall\fallta01,C,26,CLE,11,59,11.4,0.398,0,0.583,13.4,29.2,21.5,4.6,0,9,16.6,13.5,,-0.1,0.1,0.1,0.047,,-4.1,0.8,-3.4,0
Derrick Favors\favorde01,C,30,OKC,39,653,13.6,0.534,0.088,0.137,9,20.1,14.4,5.9,1.3,1.7,4.5,13.4,,0.8,0.7,1.5,0.109,,-2.3,0.2,-2,0
Bruno Fernando\fernabr01,C,23,TOT,28,112,19.3,0.668,0.053,0.368,13.7,23.3,18.5,5,0,5.7,16.9,20.5,,0.2,0.1,0.3,0.14,,-0.9,-0.3,-1.2,0
Bruno Fernando\fernabr01,C,23,BOS,20,58,12.7,0.586,0.071,0.357,13.3,14.5,13.9,9.7,0,4.7,23.6,16.1,,0,0.1,0.1,0.102,,-3.2,0.3,-2.9,0
Bruno Fernando\fernabr01,C,23,HOU,8,54,26.4,0.715,0.042,0.375,14.2,32.7,23.4,0,0,6.7,12.5,25.2,,0.1,0.1,0.2,0.181,,1.4,-0.9,0.6,0
Dorian Finney-Smith\finnedo01,PF,28,DAL,72,2389,12,0.584,0.616,0.124,5.2,11.1,8.2,8,1.7,1.3,10.4,13.9,,2.5,3,5.5,0.11,,-0.3,0.7,0.4,1.5
Malik Fitts\fittsma01,PF,24,TOT,12,46,-0.2,0.346,0.615,0,0,29.8,15.4,0,0,0,13.3,14.3,,-0.1,0.1,-0.1,-0.084,,-7.1,-2.4,-9.5,-0.1
Malik Fitts\fittsma01,PF,24,UTA,7,35,-1.5,0.333,0.444,0,0,30.2,15.6,0,0,0,18.2,13.7,,-0.1,0,-0.1,-0.106,,-7.9,-2,-9.8,-0.1
Malik Fitts\fittsma01,PF,24,BOS,5,11,3.9,0.375,1,0,0,28.7,14.7,0,0,0,0,16.1,,0,0,0,-0.016,,-4.6,-3.8,-8.4,0
Malachi Flynn\flynnma01,PG,23,TOR,40,479,12.5,0.503,0.5,0.142,1.9,11.5,6.5,18.8,1.9,0.8,6,16.4,,0.6,0.4,1,0.104,,-1.4,0.5,-1,0.1
Bryn Forbes\forbebr01,SG,28,TOT,71,1232,11.6,0.572,0.541,0.154,0.9,7,3.9,8.4,0.9,0.3,8.9,21.2,,0.8,0.6,1.3,0.052,,-0.7,-2.2,-2.9,-0.3
Bryn Forbes\forbebr01,SG,28,SAS,40,676,12.5,0.572,0.51,0.166,0.6,9.3,4.9,8.6,1.2,0.4,9.4,21.8,,0.4,0.4,0.8,0.054,,-0.3,-1.4,-1.7,0
Bryn Forbes\forbebr01,SG,28,DEN,31,556,10.4,0.573,0.583,0.139,1.2,4.3,2.8,8.1,0.5,0.3,8.2,20.4,,0.4,0.2,0.6,0.05,,-1.1,-3.2,-4.3,-0.3
Aleem Ford\fordal03,SF,24,ORL,5,74,0.5,0.35,0.75,0,2.8,18.6,10.7,3.8,0.7,0,16.7,14,,-0.2,0.1,-0.2,-0.102,,-9.1,-2.2,-11.3,-0.2
Trent Forrest\forretr01,PG,23,UTA,57,725,10.6,0.547,0.182,0.329,3.1,10.5,6.9,18.4,2,0.6,21.9,12.6,,0.4,0.7,1.2,0.079,,-2.6,1.3,-1.2,0.1
Evan Fournier\fournev01,SG,29,NYK,72,2139,12.5,0.556,0.637,0.116,1.6,8,4.7,11.5,1.6,0.8,9.3,20.8,,1.5,1.8,3.3,0.074,,-0.1,-0.5,-0.7,0.7
De'Aaron Fox\foxde01,PG,24,SAC,59,2083,17.6,0.549,0.228,0.319,1.3,10.9,6,26.7,1.6,1,11.9,29,,1.8,1,2.7,0.063,,0.7,-1.3,-0.6,0.7
Tim Frazier\fraziti01,PG,31,TOT,12,208,3.4,0.398,0.378,0.2,2.5,7.1,4.8,22.5,0.7,0.4,23.5,13.3,,-0.3,0.1,-0.2,-0.045,,-6.7,-1.8,-8.6,-0.3
Tim Frazier\fraziti01,PG,31,ORL,10,200,3.9,0.394,0.395,0.209,2.6,7.4,5,22.7,0.7,0.5,21.7,13,,-0.2,0.1,-0.1,-0.036,,-6.3,-1.7,-8,-0.3
Tim Frazier\fraziti01,PG,31,CLE,2,8,-10.3,0.5,0,0,0,0,0,18,0,0,50,22.1,,0,0,0,-0.28,,-17.7,-5.7,-23.4,0
Enes Freedom\kanteen01,C,29,BOS,35,411,15.1,0.585,0.052,0.289,16.3,25.4,20.9,2.8,0.6,3.1,15.5,13.9,,0.6,0.7,1.4,0.161,,-1.2,-0.3,-1.5,0.1
Markelle Fultz\fultzma01,PG,23,ORL,11,201,15.7,0.508,0.096,0.202,2.1,12.6,7.4,41.4,2.4,1.4,18.3,27,,-0.1,0.2,0.1,0.025,,-1,0.4,-0.6,0.1
Wenyen Gabriel\gabriwe01,PF,24,TOT,17,210,11.2,0.486,0.352,0.296,12.3,18.1,15.2,4.7,0.9,2.5,8,17.9,,0.1,0.2,0.3,0.069,,-4.2,-2.4,-6.6,-0.3
Wenyen Gabriel\gabriwe01,PF,24,BRK,1,1,11.8,,,,0,100,54.6,0,0,0,,0,,0,0,0,0.165,,-1.9,0.1,-1.7,0
Wenyen Gabriel\gabriwe01,PF,24,LAC,6,46,8.4,0.474,0.385,0.308,11.8,20.2,16.1,6.1,1.1,3.7,16.9,17,,0,0.1,0,0.038,,-6.7,-1,-7.6,-0.1
Wenyen Gabriel\gabriwe01,PF,24,LAL,10,163,12,0.489,0.345,0.293,12.5,17,14.8,4.3,0.9,2.2,5.8,18.3,,0.1,0.1,0.3,0.077,,-3.5,-2.8,-6.4,-0.2
Daniel Gafford\gaffoda01,C,23,WAS,63,1267,21.4,0.706,0,0.346,12.3,18.9,15.7,7.4,1,5.9,13,16.4,,3.7,1.4,5.1,0.192,,0.9,0.5,1.3,1.1
Danilo Gallinari\gallida01,PF,33,ATL,61,1525,14.2,0.573,0.492,0.278,2.3,17.9,10.2,8.7,0.8,0.6,5.2,18.3,,2.6,0.7,3.3,0.103,,0.9,-1.3,-0.4,0.6
Langston Galloway\gallola01,SG,30,TOT,7,107,0.7,0.269,0.615,0,3.1,14.7,9,13.7,0.4,0,18.8,12.8,,-0.3,0.1,-0.2,-0.1,,-8,-1.8,-9.8,-0.2
Langston Galloway\gallola01,SG,30,BRK,4,58,1.9,0.462,0.615,0,1.9,12.9,7.5,11,0,0,27.8,13.4,,-0.1,0,-0.1,-0.074,,-7.6,-2.9,-10.5,-0.1
Langston Galloway\gallola01,SG,30,MIL,3,49,-0.6,0.077,0.615,0,4.4,16.8,10.8,17,1,0,7.1,12.2,,-0.2,0,-0.1,-0.131,,-8.5,-0.6,-9.1,-0.1
Darius Garland\garlada01,PG,22,CLE,60,2145,18.6,0.576,0.395,0.204,1.8,8.4,5.2,40.1,1.7,0.2,17.1,27.8,,3.2,2.3,5.5,0.122,,3.2,-0.8,2.3,2.3
Marcus Garrett\garrema01,SG,23,MIA,12,128,4.7,0.28,0.19,0.238,8,12.2,10.1,7.1,2,2.5,7.9,8.8,,-0.1,0.2,0.1,0.031,,-6.3,0.9,-5.4,-0.1
Usman Garuba\garubus01,PF,19,HOU,17,115,12.7,0.425,0.56,0.08,8.6,27.9,18.2,9.5,3.3,5.5,13.4,11,,0,0.2,0.2,0.068,,-1.8,2,0.2,0.1
Luka Garza\garzalu01,C,23,DET,31,358,15.1,0.542,0.326,0.426,14.7,12.4,13.6,7.2,1.2,1.3,10,20.4,,0.5,0.2,0.7,0.095,,-0.9,-1.9,-2.8,-0.1
Rudy Gay\gayru01,PF,35,UTA,50,942,12.4,0.525,0.545,0.222,6.1,18.7,12.7,7.4,1.3,1.4,10.3,19.4,,0.6,1.1,1.7,0.086,,-1.2,-0.5,-1.6,0.1
Paul George\georgpa01,SF,31,LAC,26,924,17.6,0.528,0.39,0.21,1.3,19.4,10.6,27.1,2.8,0.9,15.2,34.1,,-0.9,1.5,0.6,0.033,,1.1,1.7,2.7,1.1
Taj Gibson\gibsota01,C,36,NYK,47,851,11.9,0.624,0.206,0.312,9.6,16.6,13,4.6,1.1,4.3,13,9.5,,1.3,1.1,2.4,0.135,,-3,0.9,-2.1,0
Josh Giddey\giddejo01,SG,19,OKC,54,1700,13.4,0.478,0.318,0.118,5.8,19.7,12.7,32.5,1.5,1.1,19.5,22.3,,-1.3,1.8,0.5,0.014,,-1.2,0.2,-0.9,0.4
Shai Gilgeous-Alexander\gilgesh01,PG,23,OKC,56,1942,21.1,0.557,0.282,0.385,1.9,12.9,7.3,31.3,1.8,2.2,11.1,30.8,,2.9,1.9,4.8,0.119,,2.9,0.5,3.4,2.7
Anthony Gill\gillan01,PF,29,WAS,36,313,15.6,0.721,0.236,0.486,7.9,11.1,9.5,8.4,0.6,2.2,12.1,14.1,,0.9,0.1,1,0.156,,-0.5,-1.1,-1.6,0
Freddie Gillespie\gillefr01,PF,24,ORL,9,119,9.5,0.419,0.045,0.318,11.5,20.5,16,5.9,1.2,6.9,16.6,10.9,,-0.1,0.2,0.1,0.05,,-5.5,0.9,-4.5,-0.1
Rudy Gobert\goberru01,C,29,UTA,59,1885,24.9,0.735,0.004,0.825,12.9,36.1,24.9,5.2,1,5.9,14.4,16.6,,6.7,3.8,10.5,0.267,,3,1.7,4.7,3.2
