Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
Udoka Azubuike\azubuud01,C,22,UTA,17,195,17.6,0.743,0,0.224,10.5,28.7,19.9,0,0.3,5,18.2,14.7,,0.3,0.3,0.6,0.157,,-1.8,0.4,-1.4,0
Marvin Bagley III\baglema01,PF,22,TOT,45,1063,15.5,0.538,0.222,0.217,9.9,22.8,16.2,4.9,1,1.3,7.3,19.9,,1,0.8,1.8,0.079,,-0.7,-1.9,-2.6,-0.2
Marvin Bagley III\baglema01,PF,22,SAC,30,656,14.4,0.521,0.252,0.191,10.9,24.9,17.8,3.9,0.7,1.4,7.3,18.8,,0.5,0.4,1,0.07,,-1,-2.5,-3.5,-0.3
Marvin Bagley III\baglema01,PF,22,DET,15,407,17.3,0.561,0.179,0.254,8.3,19.5,13.7,6.6,1.6,1.1,7.2,21.8,,0.4,0.4,0.8,0.095,,-0.1,-1,-1.1,0.1
LaMelo Ball\ballla01,PG,20,CHO,67,2159,19.5,0.547,0.442,0.2,4.7,17.6,11.1,34.7,2.3,1.3,14.7,28,,2.9,2.2,5.1,0.114,,3,0.2,3.3,2.9
Lonzo Ball\balllo01,PG,24,CHI,35,1212,14.5,0.575,0.679,0.073,3.3,14.2,8.8,20,2.6,2.2,17.2,17.4,,0.9,1.4,2.3,0.091,,1,1.5,2.5,1.4
Mo Bamba\bambamo01,C,23,ORL,64,1657,15.8,0.571,0.435,0.116,8.7,24.3,16.5,6.9,1.1,5.9,11.4,17.1,,1.3,2.4,3.7,0.108,,-0.7,0.8,0.1,0.9
Desmond Bane\banede01,SF,23,MEM,71,2127,17.5,0.588,0.481,0.135,2.1,13.7,7.8,13.6,1.8,1.2,8.7,23.2,,4.2,2.5,6.7,0.151,,2.4,0.1,2.5,2.4
Dalano Banton\bantoda01,SF,22,TOR,62,687,9.8,0.458,0.255,0.21,5.5,14.2,9.6,19.6,2,1.4,19.5,16.9,,-0.4,0.7,0.3,0.023,,-3.5,0.2,-3.3,-0.2
Cat Barber\barbeca01,PG,27,ATL,3,13,-11.2,0,0,1,8.5,16.8,12.6,26.9,0,0,14.8,22.8,,-0.1,0,-0.1,-0.455,,-15.8,-7.6,-23.4,-0.1
Harrison Barnes\barneha02,PF,29,SAC,70,2374,16.1,0.625,0.425,0.511,3.4,15.2,9.2,10.7,1.1,0.5,10.7,19,,4.9,0.9,5.8,0.118,,1.7,-1.3,0.5,1.5
